,Age,MonthlyIncome,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Human Resources,Life Sciences,Marketing,Medical,Other,Technical Degree,AgeMinMax,AgeStand
1077,29,2362.0,1,Travel_Rarely,224,Research & Development,1,4,Technical Degree,1,Male,100,2,1,Research Scientist,1,Single,7568.0,6,No,13.0,3.0,3,0,11,2,1,9,7,0,7,0.0,0.0,0.0,0.0,0.0,1.0,0.2619047619047619,-0.8712174170667922
1078,44,16328.0,0,Travel_Rarely,136,Research & Development,28,3,Life Sciences,4,Male,32,3,4,Research Director,1,Married,22074.0,3,No,13.0,3.0,3,1,24,1,4,20,6,14,17,0.0,1.0,0.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
1079,39,8376.0,0,Travel_Rarely,1089,Research & Development,6,3,Life Sciences,2,Female,32,3,3,Manufacturing Director,2,Single,9150.0,4,No,18.0,3.0,4,0,9,3,3,2,0,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.22651502982651683
1080,46,16606.0,0,Travel_Rarely,228,Sales,3,3,Life Sciences,3,Female,51,3,4,Manager,2,Married,11380.0,8,No,12.0,3.0,4,1,23,2,4,13,12,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
1081,35,8606.0,0,Travel_Rarely,1029,Research & Development,16,3,Life Sciences,4,Female,91,2,3,Healthcare Representative,2,Single,21195.0,1,No,19.0,3.0,4,0,11,3,1,11,8,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1082,23,2272.0,0,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,Male,97,3,2,Laboratory Technician,3,Single,24812.0,0,No,14.0,3.0,2,0,5,2,3,4,3,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.11904761904761901,-1.5298568852027776
1083,40,2018.0,1,Travel_Rarely,676,Research & Development,9,4,Life Sciences,4,Male,86,3,1,Laboratory Technician,1,Single,21831.0,3,No,14.0,3.0,2,0,15,3,1,5,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1084,34,7083.0,0,Travel_Rarely,971,Sales,1,3,Technical Degree,4,Male,64,2,3,Sales Executive,3,Married,12288.0,1,Yes,14.0,3.0,4,0,10,3,3,10,9,8,6,0.0,0.0,0.0,0.0,0.0,1.0,0.380952380952381,-0.3223511936201377
1085,31,4084.0,1,Travel_Frequently,561,Research & Development,3,3,Life Sciences,4,Female,33,3,1,Research Scientist,3,Single,4156.0,1,No,12.0,3.0,1,0,7,2,1,7,2,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.3095238095238095,-0.6516709276881304
1086,50,14411.0,0,Travel_Frequently,333,Research & Development,22,5,Medical,3,Male,88,1,4,Research Director,4,Single,24450.0,1,Yes,13.0,3.0,4,0,32,2,3,32,6,13,9,0.0,0.0,0.0,1.0,0.0,0.0,0.7619047619047619,1.434020721409157
1087,34,2308.0,0,Travel_Rarely,1440,Sales,7,2,Technical Degree,2,Male,55,3,1,Sales Representative,3,Married,4944.0,0,Yes,25.0,4.0,2,1,12,4,3,11,10,5,7,0.0,0.0,0.0,0.0,0.0,1.0,0.380952380952381,-0.3223511936201377
1088,42,4841.0,0,Travel_Rarely,1210,Research & Development,2,3,Medical,3,Male,68,2,1,Laboratory Technician,2,Married,24052.0,4,No,14.0,3.0,2,1,4,3,3,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.5714285714285714,0.5558347638945096
1089,37,4285.0,0,Travel_Rarely,674,Research & Development,13,3,Medical,1,Male,47,3,2,Research Scientist,4,Married,3031.0,1,No,17.0,3.0,1,0,10,2,3,10,8,3,7,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
1090,29,9715.0,0,Travel_Rarely,441,Research & Development,8,1,Other,3,Female,39,1,2,Healthcare Representative,1,Married,7288.0,3,No,13.0,3.0,3,1,9,3,3,7,7,0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.2619047619047619,-0.8712174170667922
1091,33,4320.0,0,Travel_Rarely,575,Research & Development,25,3,Life Sciences,4,Male,44,2,2,Manufacturing Director,2,Single,24152.0,1,No,13.0,3.0,4,0,5,2,3,5,3,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
1092,45,2132.0,0,Travel_Rarely,950,Research & Development,28,3,Technical Degree,4,Male,97,3,1,Research Scientist,4,Married,4585.0,4,No,20.0,4.0,4,1,8,3,3,5,4,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.6428571428571428,0.8851544979625023
1093,42,10124.0,0,Travel_Frequently,288,Research & Development,2,3,Life Sciences,4,Male,40,3,3,Healthcare Representative,4,Married,18611.0,2,Yes,14.0,3.0,3,1,24,3,1,20,8,13,9,0.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5558347638945096
1094,40,5473.0,0,Travel_Rarely,1342,Sales,9,2,Medical,1,Male,47,3,2,Sales Executive,1,Married,19345.0,0,No,12.0,3.0,4,0,9,5,4,8,4,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1095,33,5207.0,0,Travel_Rarely,589,Research & Development,28,4,Life Sciences,2,Male,79,3,2,Laboratory Technician,3,Married,22949.0,1,Yes,12.0,3.0,2,1,15,3,3,15,14,5,7,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
1096,40,16437.0,0,Travel_Rarely,898,Human Resources,6,2,Medical,3,Male,38,3,4,Manager,4,Single,17381.0,1,Yes,21.0,4.0,4,0,21,2,3,21,7,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1097,24,2296.0,0,Travel_Rarely,350,Research & Development,21,2,Technical Degree,3,Male,57,2,1,Laboratory Technician,1,Divorced,10036.0,0,No,14.0,3.0,2,3,2,3,3,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,-1.4200836405134467
1098,40,4069.0,0,Non-Travel,1142,Research & Development,8,2,Life Sciences,4,Male,72,3,2,Healthcare Representative,4,Divorced,8841.0,3,Yes,18.0,3.0,3,0,8,2,3,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1099,45,7441.0,0,Travel_Rarely,538,Research & Development,1,4,Technical Degree,1,Male,66,3,3,Healthcare Representative,2,Divorced,20933.0,1,No,12.0,3.0,1,3,10,4,3,10,8,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.6428571428571428,0.8851544979625023
1100,35,2430.0,0,Travel_Rarely,1402,Sales,28,4,Life Sciences,2,Female,98,2,1,Sales Representative,3,Married,26204.0,0,No,23.0,4.0,1,2,6,5,3,5,3,4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1101,32,5878.0,0,Travel_Rarely,824,Research & Development,5,2,Life Sciences,4,Female,67,2,2,Research Scientist,2,Married,15624.0,3,No,12.0,3.0,1,1,12,2,3,7,1,2,5,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.5418976829987995
1102,36,2644.0,0,Travel_Rarely,1157,Sales,2,4,Life Sciences,3,Male,70,3,1,Sales Representative,4,Single,17001.0,3,Yes,21.0,4.0,4,0,7,3,2,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
1103,48,6439.0,0,Travel_Rarely,492,Sales,16,4,Life Sciences,3,Female,96,3,2,Sales Executive,3,Divorced,13693.0,8,No,14.0,3.0,3,1,18,2,3,8,7,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857142,1.214474232030495
1104,29,2451.0,0,Travel_Rarely,598,Research & Development,9,3,Life Sciences,3,Male,91,4,1,Research Scientist,3,Married,22376.0,6,No,18.0,3.0,1,2,5,2,2,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
1105,33,6392.0,0,Travel_Rarely,1242,Sales,8,4,Life Sciences,1,Male,46,3,2,Sales Executive,1,Married,10589.0,2,No,13.0,3.0,4,1,8,6,1,2,2,2,2,0.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715,-0.4321244383094686
1106,30,9714.0,1,Travel_Rarely,740,Sales,1,3,Life Sciences,2,Male,64,2,2,Sales Executive,1,Married,5323.0,1,No,11.0,3.0,4,1,10,4,3,10,8,6,7,0.0,1.0,0.0,0.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
1107,38,6077.0,0,Travel_Frequently,888,Human Resources,10,4,Human Resources,3,Male,71,3,2,Human Resources,3,Married,14814.0,3,No,11.0,3.0,3,0,10,2,3,6,3,1,2,1.0,0.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
1108,35,2450.0,0,Travel_Rarely,992,Research & Development,1,3,Medical,4,Male,68,2,1,Laboratory Technician,1,Single,21731.0,1,No,19.0,3.0,2,0,3,3,3,3,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1109,30,9250.0,0,Travel_Rarely,1288,Sales,29,4,Technical Degree,3,Male,33,3,3,Sales Executive,2,Married,17799.0,3,No,12.0,3.0,2,1,9,3,3,4,2,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.28571428571428564,-0.7614441723774613
1110,35,2074.0,1,Travel_Rarely,104,Research & Development,2,3,Life Sciences,1,Female,69,3,1,Laboratory Technician,1,Divorced,26619.0,1,Yes,12.0,3.0,4,1,1,2,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1111,53,10169.0,1,Travel_Rarely,607,Research & Development,2,5,Technical Degree,3,Female,78,2,3,Manufacturing Director,4,Married,14618.0,0,No,16.0,3.0,2,1,34,4,3,33,7,1,9,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333333,1.7633404554771495
1112,38,4855.0,1,Travel_Rarely,903,Research & Development,2,3,Medical,3,Male,81,3,2,Manufacturing Director,2,Married,7653.0,4,No,11.0,3.0,1,2,7,2,3,5,2,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.4761904761904761,0.11674178513718594
1113,32,4087.0,0,Non-Travel,1200,Research & Development,1,4,Technical Degree,4,Male,62,3,2,Research Scientist,1,Married,25174.0,4,No,14.0,3.0,2,1,9,3,2,6,5,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-0.5418976829987995
1114,48,2367.0,0,Travel_Rarely,1108,Research & Development,15,4,Other,3,Female,65,3,1,Research Scientist,1,Married,16530.0,8,No,12.0,3.0,4,1,10,3,2,8,2,7,6,0.0,0.0,0.0,0.0,1.0,0.0,0.7142857142857142,1.214474232030495
1115,34,2972.0,0,Travel_Rarely,479,Research & Development,7,4,Medical,1,Male,35,3,1,Research Scientist,4,Single,22061.0,1,No,13.0,3.0,3,0,1,4,1,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.380952380952381,-0.3223511936201377
1116,55,19586.0,0,Travel_Rarely,685,Sales,26,5,Marketing,3,Male,60,2,5,Manager,4,Married,23037.0,1,No,21.0,4.0,3,1,36,3,3,36,6,2,13,0.0,0.0,1.0,0.0,0.0,0.0,0.8809523809523809,1.9828869448558113
1117,34,5484.0,0,Travel_Rarely,1351,Research & Development,1,4,Life Sciences,2,Male,45,3,2,Research Scientist,4,Married,13008.0,9,No,17.0,3.0,2,1,9,3,2,2,2,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
1118,26,2061.0,0,Travel_Rarely,474,Research & Development,3,3,Life Sciences,1,Female,89,3,1,Research Scientist,4,Married,11133.0,1,No,21.0,4.0,1,0,1,5,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.19047619047619052,-1.2005371511347849
1119,38,9924.0,0,Travel_Rarely,1245,Sales,14,3,Life Sciences,3,Male,80,3,2,Sales Executive,2,Married,12355.0,0,No,11.0,3.0,4,1,10,3,3,9,8,7,7,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
1120,38,4198.0,0,Travel_Rarely,437,Sales,16,3,Life Sciences,2,Female,90,3,2,Sales Executive,2,Single,16379.0,2,No,12.0,3.0,2,0,8,5,4,3,2,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.4761904761904761,0.11674178513718594
1121,36,6815.0,0,Travel_Rarely,884,Sales,1,4,Life Sciences,2,Female,73,3,2,Sales Executive,3,Single,21447.0,6,No,13.0,3.0,1,0,15,5,3,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
1122,29,4723.0,0,Travel_Rarely,1370,Research & Development,3,1,Medical,2,Male,87,3,1,Laboratory Technician,1,Single,16213.0,1,Yes,18.0,3.0,4,0,10,3,3,10,9,1,5,0.0,0.0,0.0,1.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
1123,35,6142.0,0,Travel_Rarely,670,Research & Development,10,4,Medical,1,Female,51,3,2,Healthcare Representative,3,Single,4223.0,3,Yes,16.0,3.0,3,0,10,4,3,5,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1124,39,8237.0,0,Travel_Rarely,1462,Sales,6,3,Medical,4,Male,38,4,3,Sales Executive,3,Married,4658.0,2,No,11.0,3.0,1,1,11,3,3,7,6,7,6,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
1125,29,8853.0,0,Travel_Frequently,995,Research & Development,2,1,Life Sciences,1,Male,87,3,2,Healthcare Representative,4,Divorced,24483.0,1,No,19.0,3.0,4,1,6,0,4,6,4,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
1126,50,19331.0,0,Travel_Rarely,264,Sales,9,3,Marketing,3,Male,59,3,5,Manager,3,Married,19519.0,4,Yes,16.0,3.0,3,1,27,2,3,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.7619047619047619,1.434020721409157
1127,23,2073.0,0,Travel_Rarely,977,Research & Development,10,3,Technical Degree,4,Male,45,4,1,Research Scientist,3,Married,12826.0,2,No,16.0,3.0,4,1,4,2,3,2,2,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.11904761904761901,-1.5298568852027776
1128,36,5562.0,0,Travel_Frequently,1302,Research & Development,6,4,Life Sciences,1,Male,80,4,2,Laboratory Technician,1,Married,19711.0,3,Yes,13.0,3.0,4,1,9,3,3,3,2,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
1129,42,19613.0,0,Travel_Rarely,1059,Research & Development,9,2,Other,4,Male,93,2,5,Manager,4,Single,26362.0,8,No,22.0,4.0,4,0,24,2,3,1,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.5714285714285714,0.5558347638945096
1130,35,3407.0,0,Travel_Rarely,750,Research & Development,28,3,Life Sciences,2,Male,46,4,2,Laboratory Technician,3,Married,25348.0,1,No,17.0,3.0,4,2,10,3,2,10,9,6,8,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1131,34,5063.0,0,Travel_Frequently,653,Research & Development,10,4,Technical Degree,4,Male,92,2,2,Healthcare Representative,3,Married,15332.0,1,No,14.0,3.0,2,1,8,3,2,8,2,7,7,0.0,0.0,0.0,0.0,0.0,1.0,0.380952380952381,-0.3223511936201377
1132,40,4639.0,0,Travel_Rarely,118,Sales,14,2,Life Sciences,4,Female,84,3,2,Sales Executive,1,Married,11262.0,1,No,15.0,3.0,3,1,5,2,3,5,4,1,2,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1133,43,4876.0,0,Travel_Rarely,990,Research & Development,27,3,Technical Degree,4,Male,87,4,1,Laboratory Technician,2,Divorced,5855.0,5,No,12.0,3.0,3,1,8,0,3,6,4,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.5952380952380951,0.6656080085838405
1134,35,2690.0,0,Travel_Rarely,1349,Research & Development,7,2,Life Sciences,3,Male,63,2,1,Laboratory Technician,4,Married,7713.0,1,No,18.0,3.0,4,1,1,5,2,1,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1135,46,17567.0,0,Travel_Rarely,563,Sales,1,4,Life Sciences,4,Male,56,4,4,Manager,1,Single,3156.0,1,No,15.0,3.0,2,0,27,5,1,26,0,0,12,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666665,0.9949277426518331
1136,28,2408.0,1,Travel_Rarely,329,Research & Development,24,3,Medical,3,Male,51,3,1,Laboratory Technician,2,Married,7324.0,1,Yes,17.0,3.0,3,3,1,3,3,1,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
1137,22,2814.0,0,Non-Travel,457,Research & Development,26,2,Other,2,Female,85,2,1,Research Scientist,3,Married,10293.0,1,Yes,14.0,3.0,2,0,4,2,2,4,2,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.09523809523809518,-1.6396301298921085
1138,50,11245.0,0,Travel_Frequently,1234,Research & Development,20,5,Medical,2,Male,41,3,4,Healthcare Representative,3,Married,20689.0,2,Yes,15.0,3.0,3,1,32,3,3,30,8,12,13,0.0,0.0,0.0,1.0,0.0,0.0,0.7619047619047619,1.434020721409157
1139,32,3312.0,0,Travel_Rarely,634,Research & Development,5,4,Other,2,Female,35,4,1,Research Scientist,4,Married,18783.0,3,No,17.0,3.0,4,2,6,3,3,3,2,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,-0.5418976829987995
1140,44,19049.0,0,Travel_Rarely,1313,Research & Development,7,3,Medical,2,Female,31,3,5,Research Director,4,Divorced,3549.0,0,Yes,14.0,3.0,4,1,23,4,2,22,7,1,10,0.0,0.0,0.0,1.0,0.0,0.0,0.6190476190476188,0.7753812532731714
1141,30,2141.0,0,Travel_Rarely,241,Research & Development,7,3,Medical,2,Male,48,2,1,Research Scientist,2,Married,5348.0,1,No,12.0,3.0,2,1,6,3,2,6,4,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.28571428571428564,-0.7614441723774613
1142,45,5769.0,0,Travel_Rarely,1015,Research & Development,5,5,Medical,3,Female,50,1,2,Laboratory Technician,1,Single,23447.0,1,Yes,14.0,3.0,1,0,10,3,3,10,7,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.6428571428571428,0.8851544979625023
1143,45,4385.0,0,Non-Travel,336,Sales,26,3,Marketing,1,Male,52,2,2,Sales Executive,1,Married,24162.0,1,No,15.0,3.0,1,1,10,2,3,10,7,4,5,0.0,0.0,1.0,0.0,0.0,0.0,0.6428571428571428,0.8851544979625023
1144,31,5332.0,0,Travel_Frequently,715,Sales,2,4,Other,4,Male,54,3,2,Sales Executive,1,Single,21602.0,7,No,13.0,3.0,4,0,10,3,3,5,2,0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.3095238095238095,-0.6516709276881304
1145,36,4663.0,0,Travel_Rarely,559,Research & Development,12,4,Life Sciences,3,Female,76,3,2,Manufacturing Director,3,Married,12421.0,9,Yes,12.0,3.0,2,2,7,2,3,3,2,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
1146,34,4724.0,0,Travel_Frequently,426,Research & Development,10,4,Life Sciences,3,Male,42,4,2,Manufacturing Director,4,Divorced,17000.0,1,No,13.0,3.0,1,1,9,3,3,9,7,7,2,0.0,1.0,0.0,0.0,0.0,0.0,0.380952380952381,-0.3223511936201377
1147,49,3211.0,0,Travel_Rarely,722,Research & Development,25,4,Life Sciences,3,Female,84,3,1,Laboratory Technician,1,Married,22102.0,1,No,14.0,3.0,4,1,10,3,2,9,6,1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.7380952380952379,1.324247476719826
1148,39,5377.0,0,Travel_Rarely,1387,Research & Development,10,5,Medical,2,Male,76,3,2,Manufacturing Director,1,Married,3835.0,2,No,13.0,3.0,4,3,10,3,3,7,7,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
1149,27,4066.0,0,Travel_Rarely,1302,Research & Development,19,3,Other,4,Male,67,2,1,Laboratory Technician,1,Divorced,16290.0,1,No,11.0,3.0,1,2,7,3,3,7,7,0,7,0.0,0.0,0.0,0.0,1.0,0.0,0.21428571428571425,-1.090763906445454
1150,35,5208.0,0,Travel_Rarely,819,Research & Development,18,5,Life Sciences,2,Male,48,4,2,Research Scientist,1,Married,26312.0,1,No,11.0,3.0,4,0,16,2,3,16,15,1,10,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1151,28,4877.0,0,Travel_Rarely,580,Research & Development,27,3,Medical,2,Female,39,1,2,Manufacturing Director,1,Divorced,20460.0,0,No,21.0,4.0,2,1,6,5,2,5,3,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.23809523809523808,-0.9809906617561232
1152,21,3117.0,0,Travel_Rarely,546,Research & Development,5,1,Medical,3,Male,97,3,1,Research Scientist,4,Single,26009.0,1,No,18.0,3.0,3,0,3,2,3,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857145,-1.7494033745814395
1153,18,1569.0,1,Travel_Frequently,544,Sales,3,2,Medical,2,Female,70,3,1,Sales Representative,4,Single,18420.0,1,Yes,12.0,3.0,3,0,0,2,4,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.078723108649432
1154,47,19658.0,0,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,4,Female,98,3,5,Manager,3,Married,5220.0,3,No,11.0,3.0,3,1,27,2,3,5,2,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.6904761904761905,1.1047009873411642
1155,39,3069.0,0,Travel_Rarely,170,Research & Development,3,2,Medical,3,Male,76,2,2,Laboratory Technician,3,Divorced,10302.0,0,No,15.0,3.0,4,1,11,3,3,10,8,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
1156,40,10435.0,0,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,Female,80,2,3,Manufacturing Director,3,Married,25800.0,1,No,13.0,3.0,4,2,18,2,3,18,15,14,12,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1157,35,4148.0,0,Non-Travel,208,Research & Development,8,4,Life Sciences,3,Female,52,3,2,Healthcare Representative,3,Married,12250.0,1,No,12.0,3.0,4,1,15,5,3,14,11,2,9,0.0,1.0,0.0,0.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1158,37,5768.0,0,Travel_Rarely,671,Research & Development,19,3,Life Sciences,3,Male,85,3,2,Manufacturing Director,3,Married,26493.0,3,No,17.0,3.0,1,3,9,2,2,4,3,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
1159,39,5042.0,0,Travel_Frequently,711,Research & Development,4,3,Medical,1,Female,81,3,2,Manufacturing Director,3,Single,3140.0,0,No,13.0,3.0,4,0,10,2,1,9,2,3,8,0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.22651502982651683
1160,45,5770.0,0,Travel_Rarely,1329,Research & Development,2,2,Other,4,Female,59,2,2,Manufacturing Director,4,Divorced,5388.0,1,No,19.0,3.0,1,2,10,3,3,10,7,3,9,0.0,0.0,0.0,0.0,1.0,0.0,0.6428571428571428,0.8851544979625023
1161,38,7756.0,0,Travel_Rarely,397,Research & Development,2,2,Medical,4,Female,54,2,3,Manufacturing Director,3,Married,14199.0,3,Yes,19.0,3.0,4,1,10,6,4,5,4,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4761904761904761,0.11674178513718594
1162,35,10306.0,1,Travel_Rarely,737,Sales,10,3,Medical,4,Male,55,2,3,Sales Executive,1,Married,21530.0,9,No,17.0,3.0,3,0,15,3,3,13,12,6,0,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1163,37,3936.0,0,Travel_Rarely,1470,Research & Development,10,3,Medical,2,Female,71,3,1,Research Scientist,2,Married,9953.0,1,No,11.0,3.0,1,1,8,2,1,8,4,7,7,0.0,0.0,0.0,1.0,0.0,0.0,0.4523809523809524,0.0069685404478550305
1164,40,7945.0,0,Travel_Rarely,448,Research & Development,16,3,Life Sciences,3,Female,84,3,3,Manufacturing Director,4,Single,19948.0,6,Yes,15.0,3.0,4,0,18,2,2,4,2,3,3,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1165,44,5743.0,0,Travel_Frequently,602,Human Resources,1,5,Human Resources,1,Male,37,3,2,Human Resources,4,Married,10503.0,4,Yes,11.0,3.0,3,0,14,3,3,10,7,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.6190476190476188,0.7753812532731714
1166,48,15202.0,0,Travel_Frequently,365,Research & Development,4,5,Medical,3,Male,89,2,4,Manager,4,Married,5602.0,2,No,25.0,4.0,2,1,23,3,3,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.7142857142857142,1.214474232030495
1167,35,5440.0,1,Travel_Rarely,763,Sales,15,2,Medical,1,Male,59,1,2,Sales Executive,4,Divorced,22098.0,6,Yes,14.0,3.0,4,2,7,2,2,2,2,2,2,0.0,0.0,0.0,1.0,0.0,0.0,0.4047619047619047,-0.21257794893080678
1168,24,3760.0,0,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,Female,32,3,1,Research Scientist,4,Single,17218.0,1,Yes,13.0,3.0,3,0,6,2,3,6,3,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,-1.4200836405134467
1169,27,3517.0,0,Travel_Rarely,486,Research & Development,8,3,Medical,2,Female,86,4,1,Research Scientist,3,Married,22490.0,7,No,17.0,3.0,1,0,5,0,3,3,2,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.21428571428571425,-1.090763906445454
1170,27,2580.0,0,Travel_Frequently,591,Research & Development,2,3,Medical,4,Male,87,3,1,Research Scientist,4,Single,6297.0,2,No,13.0,3.0,3,0,6,0,2,4,2,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.21428571428571425,-1.090763906445454
1171,40,2166.0,1,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1,Male,73,3,1,Laboratory Technician,1,Single,3339.0,3,Yes,14.0,3.0,2,0,10,3,1,4,2,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.5238095238095237,0.33628827451584775
1172,29,5869.0,0,Travel_Rarely,469,Sales,10,3,Medical,3,Male,42,2,2,Sales Executive,3,Single,23413.0,9,No,11.0,3.0,3,0,8,2,3,5,2,1,4,0.0,0.0,0.0,1.0,0.0,0.0,0.2619047619047619,-0.8712174170667922
1173,36,8008.0,0,Travel_Rarely,711,Research & Development,5,4,Life Sciences,2,Female,42,3,3,Healthcare Representative,1,Married,22792.0,4,No,12.0,3.0,3,2,9,6,3,3,2,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.42857142857142855,-0.10280470424147588
